id,jogo,categoria,participantes,mediador,aquecimento,musica,descricao,visivel
12,Morte Súbita,Trios,3,sim,não,não,"O mediador obtém com a plateia um objeto não-letal fisicalizado e as premissas da cena (Onde, O que e Quem). O objetivo de cada ator é arranjar uma forma lógica de 'morrer' por culpa desse objeto durante a cena. Só ganha quem morrer de forma coerente. O último a morrer perde, o que faz com que os atores tentem se impedir mutuamente de morrer.",sim
13,Uma Palavra de Cada Vez,Grupos,4,não,não,não,"Em grupos de 4 pessoas, cada dupla representa um único personagem em cena. As duas duplas improvisam um diálogo onde cada ator só pode falar UMA palavra por vez para construir frases em conjunto com sua dupla.",sim
14,Escolinha,Grupos,5,sim,não,não,"Grupos de 5 atores: 1 é o mediador/professor e os outros 4 são alunos. O professor é retirado da sala enquanto a plateia define uma identidade e característica para cada aluno (ex: 'Vampiro que só come peras'). O professor volta e faz 3 rodadas de perguntas escolares. Os alunos respondem mantendo o perfil, mas sem citar diretamente quem são. No final, o professor deve adivinhar o perfil de cada um.",sim
15,Medusa,Todos,3+,sim,sim,não,"Todos formam uma roda olhando para o chão. Quando o mediador gritar 'Medusa!', todos devem levantar a cabeça e olhar fixamente para outro participante. Se duas pessoas se olharem nos olhos ao mesmo tempo, ambas dão um grito e são eliminadas, até sobrarem os dois finalistas.",sim
16,Círculo da Conexão,Todos,4+,sim,sim,não,"A turma forma um grande círculo. O objetivo é que todos deem passos sincronizados em direção ao centro até se encontrarem num abraço coletivo. Porém, todos devem dar os exatos mesmos passos ao mesmo tempo. Se alguém errar o ritmo, o mediador faz um sinal e todos devem retornar à posição inicial para recomeçar até atingirem a sintonia perfeita.",sim
17,De Onde Venho e Para Onde Vou,Todos,1+,sim,não,não,"Um ator sai da sala e entra realizando uma ação mímica corporal que demonstre de onde acabou de chegar (tirar uma mochila pesada, soltar a gravata, tremer de frio), sem usar objetos reais nem falar. O grupo discute e tenta adivinhar de onde a pessoa veio com base na expressão do corpo.",sim
18,Estátuas Malucas,Todos,5+,sim,sim,não,Cada participante recebe um número de 1 a 5 e caminha pelo espaço. O mediador chama um número (ex: 'Todos número 4!') e dá um desafio (ex: 'Montem coletivamente um ventilador em 10 segundos!'). Os chamados formam a estátua em grupo e depois todos avaliam o resultado.,sim
19,Nome e Movimento,Todos,3+,não,sim,não,"Todos em roda. O primeiro participante diz seu nome e realiza um movimento ou gesto com o corpo. O participante ao lado repete o nome e o movimento do anterior, e em seguida diz seu próprio nome criando um movimento inédito. A roda segue até que o último repita a sequência inteira!",sim
20,Palavra Palavra,Todos,3+,não,sim,não,"Em roda, o primeiro participante fala uma palavra. O seguinte deve dizer imediatamente outra palavra que tenha associação direta com a palavra anterior (ex: Tesoura -> Cabelo -> Barbeiro). Se alguém citar algo desconexo ou voltar a uma palavra anterior, é eliminado.",sim
21,Alfabeto,Duplas,2,sim,não,não,"Uma dupla improvisa uma cena onde cada fala precisa começar obrigatoriamente com a próxima letra do alfabeto em ordem. O primeiro ator começa uma frase com a letra A, o segundo responde com a letra B, e assim por diante até a letra Z. Quem errar a letra cede lugar a outra dupla.",sim
22,Quem Sou Eu?,Trios,3,sim,não,não,"Um dos atores sai do ambiente enquanto o mediador e a plateia decidem quem ele é (personagem, profissão ou figura). Ao retornar, os outros dois atores iniciam uma cena contracenando com ele e dando pistas indiretas no contexto da ação, sem dizer a resposta diretamente, até que ele adivinhe a própria identidade.",sim
23,Notícia Urgente,Grupos,4+,sim,não,não,"Divida a turma em grupos. Cada grupo tem 5 minutos para buscar uma notícia real no celular e criar uma cena baseada nela. Após cada apresentação, os outros grupos tentam adivinhar qual era a notícia de jornal que inspirou a cena.",sim
24,Especialistas,Trios,3,sim,não,não,Três atores interpretam os maiores especialistas do mundo em um assunto completamente absurdo ou inédito sugerido pela plateia. Um entrevistador/mediador faz perguntas e cada especialista precisa defender teorias mirabolantes mantendo postura de autoridade máxima no assunto.,sim
25,Mímica Total,Duplas,2,sim,não,não,"Uma dupla improvisa uma cena completa baseada em um contexto sorteado ou definido pela plateia, sem emitir uma única palavra ou som. Toda a história, conflito, reação e uso de objetos cênicos devem ser comunicados exclusivamente através de mímica corporal e expressões faciais.",sim
26,Braços Emprestados,Grupos,4,não,não,não,"Dois atores ficam na frente do palco com os braços escondidos para trás. Atrás de cada um, outro participante posiciona seus braços por baixo das axilas da dupla da frente. A dupla da frente fala e atua normalmente, enquanto as pessoas de trás controlam todas as mãos, gestos e manuseio de objetos.",sim
27,Estilos de Cinema,Duplas,2+,sim,não,não,"Dois atores iniciam uma cena a partir de uma sugestão simples. A qualquer momento, o mediador interrompe e ordena que a mesma cena continue em um gênero de cinema diferente (ex: Terror, Novela Mexicana, Faroeste, Sci-Fi ou Animação).",sim
28,Infomercial Absurdo,Duplas,2,sim,não,não,A dupla recebe da plateia um objeto banal do cotidiano (ex: uma meia furada ou um clipe de papel) e encena um canal de vendas da TV. Eles têm 2 minutos para convencer o público de que aquele objeto é o produto mais revolucionário e indispensável já criado.,sim
29,Jogo do Espelho,Duplas,2,não,sim,não,"Dois atores ficam frente a frente. Um é o líder e o outro é o reflexo no espelho. O líder começa a se movimentar devagar e o reflexo deve imitar cada gesto simultaneamente com extrema precisão. Ao sinal do mediador, as funções se invertem sem interromper o movimento.",sim
30,Tribunal do Improviso,Grupos,4+,sim,não,não,"Formam-se o Juiz, a Acusação, a Defesa e o Réu. A plateia define um 'crime' inusitado (ex: roubar a última fatia de pizza). Acusação e Defesa apresentam argumentos e testemunhas improvisadas para tentar convencer o Juiz sobre o veredito final.",sim
31,Telefone Emocional,Todos,4+,sim,sim,não,"Em roda, o primeiro participante recebe uma frase e uma emoção (ex: 'Esqueci a chave' com extrema indignação). Ele sussurra a frase e a intenção no ouvido do colega ao lado. A mensagem circula a roda e o último deve interpretar a frase em voz alta para ver se a emoção se manteve.",sim
32,Gira a Roda,Grupos,4,sim,não,não,"Quatro atores se posicionam formando um quadrado no palco. Os dois da frente encenam. Quando o mediador grita 'Gira!', todos giram 90 graus para a direita e a nova dupla da frente inicia uma nova cena baseada em uma premissa totalmente diferente.",sim
33,Quem bate à porta?,Todos,2+,não,não,não,"Cada ator deve fazer uma cena onde chega em frente a um local e bate à porta. Deve ficar explícito qual personagem ou arquétipo o ator está fazendo apenas durante o seu trajeto até bater à porta. A outra metade dos participantes faz o mesmo movimento, mas interpretando a reação ao abrir a porta. Opcional: montar filas aleatórias onde quem bate à porta encontra quem abre a porta, iniciando a partir daí uma cena com diálogo e conclusão.",sim
34,Cenas Relâmpago,Grupos,4+,sim,não,não,"Tópicos ou situações inusitadas são sorteados de um recipiente. Ao ouvir o tema lido em voz alta pelo mediador, uma dupla ou grupo entra imediatamente no palco e realiza uma cena rápida e direta de 1 minuto sobre aquela ideia.",sim
35,Poesia Improvisada,Duplas,2,sim,não,não,"Duas pessoas improvisam um diálogo em formato de rima a partir de um tema sugerido pela plateia. Cada participante deve obrigatoriamente fazer sua fala rimar com a frase dita pelo colega de cena anterior, criando uma história rimada.",sim
36,Sem Sinal,Trios,3,sim,não,não,"Um ator fica isolado sem ouvir nada enquanto a plateia define um contexto absurdo para os outros dois atores. Quando o ator isolado retorna, ele entra na cena sem saber de nada e precisa tentar entender o que está acontecendo apenas acompanhando as pistas dos colegas.",sim
39,Palavra Proibida,Duplas,2,sim,não,não,"A plateia define em segredo uma palavra comum (ex: 'água', 'hoje') que um dos atores não pode dizer de jeito nenhum. O outro ator contracena normalmente tentando induzi-lo sutilmente a falar a palavra proibida sem que ele perceba a armadilha.",sim
40,Carrossel de Emoções,Duplas,2,sim,não,não,"Duas pessoas iniciam uma cena normal. Sempre que o mediador gritar uma nova emoção (ex: 'Pavor!', 'Rivais!', 'Euforia!'), os atores devem mudar instantaneamente o estado emocional das personagens mantendo o mesmo diálogo de onde pararam.",sim
41,Linguagem Corporal,Duplas,2,sim,não,não,"Um ator faz um discurso ou palestra séria sobre um tema dado pela plateia, enquanto ao seu lado outro participante faz a 'tradução em gestos' ao vivo para o público, usando mímicas completamente exageradas, cômicas e literais.",sim
42,Em Pé Sentado e Deitado,Todos,3+,sim,sim,não,"Jogo de aquecimento em que todos andam pelo espaço. Sempre que o mediador der um sinal, todos congelam em uma das três posições: em pé, sentado ou deitado. Das três posições, o número de atores em cada status deve ser PAR. Quem estiver em uma posição com contagem ÍMPAR é eliminado, até restarem os últimos vencedores. Dica: comece adicionando os status aos poucos, primeiro só em pé e sentado, e depois adicione o deitado.",sim
43,Momento do Oscar,Duplas,2+,sim,não,não,"Uma cena cômica ou cotidiana acontece normalmente. A qualquer momento, o mediador aponta para um ator e grita 'Momento do Oscar!'. A cena congela e o ator indicado faz um monólogo dramático e profundo digno de premiação sobre o tópico atual, retornando ao tom normal em seguida.",sim
44,Tradução em Marmota,Trios,3,não,não,não,"Dois atores conversam em uma língua inventada (gramelot/marmota) cheia de gesticulação e emoção. O terceiro participante atua como intérprete simultâneo para a plateia, inventando uma tradução absurda e coerente em português.",sim
47,Roda de Emoções,Todos,4+,sim,sim,não,"Em roda, o primeiro participante inicia um gesto simples acompanhado de um som carregado de uma emoção intensa (ex: gargalhada de alegria). O vizinho ao lado absorve o gesto e o repete, mas transforma gradualmente a emoção para outra (ex: choro de desespero) até dar a volta completa.",sim
48,Na Linha do Tempo,Duplas,2,sim,não,não,"Uma dupla improvisa uma cena. Sempre que o mediador gritar 'Avançar 10 anos!', os atores dão um salto no tempo mantendo as personagens mais velhas. Quando o mediador gritar 'Rebobinar!', os atores voltam no tempo e reencenam em câmera lenta ao contrário.",sim
50,Roteiro de Dublagem,Grupos,4,não,não,não,"Dois atores movimentam a boca no palco sem emitir som algum. Do lado de fora da cena, outros dois participantes fazem todas as vozes e falas em tempo real, precisando sincronizar a fala com os lábios e gestos dos atores de frente.",sim
51,Cena em Cadeia,Todos,4+,sim,não,não,"Atores entram um por vez em cena. Cada novo participante que entra traz uma informação ou reviravolta que muda a história. Quando a cena atinge o ápice de 4 pessoas, cada ator começa a sair um por vez com uma justificativa coerente até restar apenas o primeiro.",sim
52,Entrevista com Objetos,Duplas,2,sim,não,não,"Um ator assume o papel de um objeto inanimado (ex: um tênis velho, uma torradeira) e o outro atua como um jornalista curioso. O objeto ganha voz, personalidade e dilemas de vida durante a entrevista improvisada.",sim
53,Painel de Efeitos,Grupos,4,não,não,não,"Dois atores realizam uma cena. Os outros dois ficam na lateral do palco com instrumentos improvisados, baldes, jornais e objetos para criar efeitos sonoros de ambiente e ações (passos, chuva, portas abrindo) perfeitamente sincronizados.",sim
54,Cena do Crime,Grupos,4+,sim,não,não,"4 atores ou mais: 1 dos atores é o investigador e os outros 3 (ou mais) são as vítimas. Em uma contagem, os atores que interpretam as vítimas devem ficar estáticos na posição em que morreram. O mediador dá o sinal e o investigador analisa as mortes de acordo com as posições dos corpos, chegando a conclusões cômicas até o momento em que declara que já sabe o que aconteceu. Ele então segue para o canto do palco e começa a narrar o que ocorreu enquanto os atores encenam a história.",sim
56,Escola de Personagens,Todos,4+,sim,sim,não,"Todos caminham pelo espaço. O mediador propõe um ponto de apoio corporal (ex: 'Caminhem como se o nariz estivesse puxando você', ou 'como se o quadril pesasse 100kg'). A partir da postura física, cada um desenvolve a voz e a personalidade daquela nova figura.",sim
58,Primeira e Última Fala,Duplas,2,sim,não,não,A plateia fornece a primeira frase da cena (ex: 'Você trouxe o mapa?') e a frase final (ex: 'E assim o bolo queimou'). A dupla precisa improvisar uma cena coerente que comece exatamente na primeira frase e termine perfeitamente na frase final.,sim
63,Vozes da Mente,Trios,3,não,não,não,"Um ator toma decisões em cena enquanto os outros dois ficam nos seus ombros representando seu 'Anjo da Guarda' (conselhos ponderados) e seu 'Diabinho' (impulsos inconsequentes), tentando influenciar suas atitudes a cada segundo.",sim
64,História em Três Tempos,Trios,3,sim,não,não,"Três atores interpretam a mesma personagem em três fases da vida: Infância, Vida Adulta e Terceira Idade. Eles encenam uma conversa conjunta onde refletem sobre suas escolhas, medos e conquistas ao longo da vida.",sim
66,O Mistério do Objeto,Todos,3+,não,sim,não,"Um objeto simples (ex: uma toalha ou cabo de vassoura) circula pela roda. Cada participante deve transformar o objeto em algo totalmente diferente através de uma pequena ação mímica (ex: toalha vira capa de super-herói, depois bebezinho no colo).",sim
67,Escultor Mudo,Duplas,2,não,sim,não,"Um ator é o escultor e o outro é a argila. O escultor molda o corpo do colega sem falar nada, ajustando braços, pernas e expressão facial. Quando a estátua fica pronta, a 'argila' ganha vida e inicia uma cena a partir da postura moldada.",sim
68,Museu de Cera,Grupos,4+,sim,não,não,"Três atores são estátuas de cera em um museu. Um guia conduz visitantes pela exposição. Sempre que o guia aponta para uma estátua e aperta um 'botão', a estátua ganha vida momentaneamente, faz um breve discurso e volta a congelar.",sim
69,Pausa para Comercial,Grupos,4,sim,não,não,"Uma cena dramática e séria acontece no palco. A qualquer momento, o mediador bate palma e grita 'Comercial!'. Dois atores saem de cena e os outros dois entram para apresentar um comercial de TV rápido de um produto inventado, voltando à cena principal em seguida.",sim
74,Siga o Líder,Todos,4+,não,sim,não,"Em fila indiana, o primeiro da fila caminha com uma marcha ou trejeito físico peculiar. Todos atrás imitam exatamente os mesmos passos. Quando o primeiro vai para o final da fila, o novo líder altera o ritmo e o trejeito corporal.",sim
75,Manual de Instruções,Duplas,2,não,não,não,Dois apresentadores ensinam o público 'Como Fazer' algo completamente absurdo (ex: 'Como adestrar um pombo urbano'). Um dá os passos teóricos e o outro demonstra na prática de forma atrapalhada.,sim
77,Troca de Chapéu,Trios,3,sim,não,não,"Três atores encenam usando chapéus ou adereços característicos. Sempre que o mediador apitar, eles devem trocar de chapéu uns com os outros e assumir instantaneamente a personagem associada ao novo acessório recebido.",sim
78,A Grande Revelação,Grupos,4,sim,não,não,"Uma cena estilo novela melodramática. A cada 45 segundos, o mediador dá um sinal e o ator da vez deve revelar um segredo bombástico e absurdo sobre sua vida ou sobre o colega (ex: 'Na verdade, eu sou seu irmão gêmeo!').",sim
82,Flashback Dramático,Trios,3,sim,não,não,"Dois atores conversam sobre um evento marcante do passado. Quando dizem 'Lembra daquela vez...?', a cena congela e o terceiro ator entra encenando o flashback ao vivo, que é sempre muito mais cômico ou desastroso do que a memória.",sim
86,Abaixa Comigo!,Todos,5+,sim,sim,não,"Os participantes caminham pelo espaço até que o mediador peça para congelar. Parados em suas posições, o desafio do grupo é fazer uma contagem regressiva/progressiva até alcançar um número duas unidades menor do que o total de jogadores (por exemplo, em um grupo de 10 pessoas, conta-se até 8).
​Ao falar um número, o jogador deve se abaixar. Caso duas pessoas falem um número ao mesmo tempo, ambas são eliminadas. Se a contagem chegar ao fim sem erros, o último jogador que permanecer em pé é eliminado. O jogo se repete successiveis vezes até restarem apenas dois jogadores, que formam a dupla vencedora.",sim
87,Conta comigo,Todos,5 ou +,sim,sim,não,"Enquanto caminham pelo espaço, os jogadores têm a missão de contar coletivamente até 10. A regra principal é que apenas uma pessoa por vez pode dizer um número.
​Se duas ou mais pessoas falarem um número ao mesmo tempo, a contagem é interrompida: todos devem pular e o desafio é reiniciado do zero. Caso o grupo consiga alcançar a meta de 10 sem sobrepor vozes, o nível aumenta progressivamente para 15, depois 20 e até 30.",sim
88,Quem Quer x Quem Tem,Duplas,2,sim,não,não,"Em duplas, um ator assume o papel de Quem Quer e o outro de Quem Tem. O mediador define o tema ou o objeto de desejo da cena.
​A partir daí, os atores iniciam uma cena de improviso: o personagem que deseja deve usar todos os argumentos para convencer o outro a entregar o objeto, enquanto quem o possui deve impor resistência e dificultar ao máximo a negociação. A cena só se encerra quando o negociador finalmente consegue o que quer.",sim
89,Telefone Sem Fio,Todos,3+,sim,não,não,"Coloque todos os atores fora do palco sem ver nem ouvir a cena. Chame dois atores: um deve fazer uma pequena cena improvisada para o outro. O ator que assistiu memoriza a cena e o primeiro sai do palco. Entra o próximo ator que estava fora, e quem assistiu reproduz a cena para ele, assim sucessivamente. Ao final, todos apresentam em sequência suas versões da cena para ver as diferenças e detalhes que foram se perdendo pelo caminho.",sim
