Personagem,Localizacao,Filme / Livro,Adjetivo / Característica,Frase
"Guia turístico","Bunker subterrâneo","Monstros S.A.","Paciente","Tenho quase certeza de que esse peixe piscou pra mim."
"Cerimonialista","Museu de arte moderna","Divertida Mente","Impaciente","Coloquei sal no café em vez de açúcar."
"Organizador de festas","Camarim de teatro","Viva: A Vida é uma Festa","Desorganizado","Não me olha com essa cara de julgamento!"
"Apresentador de TV","Heliponto","Kung Fu Panda","Metódico","Eu não paguei o boleto de energia."
"Repórter","Cabine de teleférico","Como Treinar o Seu Dragão","Esquisito","Por favor fala que isso é um pesadelo."
"Locutor de rádio","Concessionária de carros","Meu Malvado Favorito","Excêntrico","A pizza caiu virada pra baixo no tapete."
"DJ","Coquetel de negócios","Madagascar","Extrovertido","Você por acaso sabe falar com fantasmas?"
"Sommelier","Cemitério de aviões","A Era do Gelo","Introvertido","Esqueci o bolo no forno faz quatro dias."
"Crítico gastronômico","Piscina pública lotada","Ratatouille","Sensível","Minha pressão baixou só de ver a sua cara."
"Barista","Submarino atômico","UP: Altas Aventuras","Insensível","Quem foi que soltou esse pum?"
"Churrasqueiro","Lava-rápido automático","WALL-E","Manipulador","Vou fingir que não ouvi o que você acabou de dizer."
"Mestre de obras","Lanchonete 24 horas","Moana","Sincero até demais","Você tá usando o meu sabonete no cabelo?"
"Instalador de ar-condicionado","Padaria de bairro","Frozen: Uma Aventura Congelante","Mentiroso compulsivo","Isso não é sangue é molho de tomate!"
"Chaveiro","Açougue","Enrolados","Honesto","Acho que a gente pegou o ônibus errado."
"Dedetizador","Peixaria","Zootopia","Leal","Me dá dez segundos pra inventar uma desculpa."
"Vidraceiro","Banca de jornal","A Bela e a Fera","Traiçoeiro","Você tem certeza de que o freio tá funcionando?"
"Sapateiro","Farmácia de plantão","Aladdin","Impulsivo","Não me venha com choro de crocodilo!"
"Relojoeiro","Lotérica no dia da Mega da Virada","A Pequena Sereia","Cauteloso","Toda vez que chove meu joelho estala."
"Estofador","Pet shop","Mulan","Vingativo","Cadê a chave que tava aqui agora pouco?"
"Guinchador","Veterinária","Pocahontas","Perdoador","Se liga o Wi-Fi caiu de novo!"
"Vendedor de colchão","Estúdio de tatuagem","Hercules","Carinhoso","Você pisou no meu calcanhar de propósito!"
"Corretor de imóveis","Barbearia retrô","Tarzan","Frio","Não dá pra conversar com quem tá de pijama."
"Gerente de banco","Loja de 1 real","Carros","Grossos","Quem deixou esse melão no meu travesseiro?"
"Contador","Shopping center no Natal","A Viagem de Chihiro","Gentil","Eu vi quando você escondeu o brigadeiro."
"Consultor de moda","Praça de jogos de tabuleiro","Meu Amigo Totoro","Mal-humorado","Não abre essa geladeira de jeito nenhum!"
"Cabeleireiro","Quadra de society","Kimi no Na wa (Your Name)","Bem-humorado","Nossa como seu cabelo tá diferente hoje!"
"Maquiador","Academia de musculação cheia","Akira","Sem noção","Eu pensei que você sabia dirigir!"
"Esteticista","Pista de skate","Ghost in the Shell","Sensato","Diz pra mim que esse barulho foi só o vento."
"Massagista","Parque de cachorros","O Castelo Animado","Conselheiro","Minha mãe disse que eu sou especial."
"Fisioterapeuta","Coreto da praça matriz","Piratas do Caribe: A Maldição do Pérola Negra","Critico","Essa cueca não é minha!"
"Nutricionista","Rodoviária de madrugada","Homem de Ferro","Dramático de novela","Se o chefe descobrir tamo frito."
"Psicólogo","Aeroporto com voo atrasado","Capitão América: Guerra Civil","Triunfante","Você fala demais pra quem não sabe nada."
"Coach","Estação de trem no pico","Thor: Ragnarok","Derrotado","Desliga a luz que a luz tá cara!"
"Inspetor de escola","Ponto de táxi","Pantera Negra","Nostálgico","Você quer que eu chore ou que eu surte?"
"Diretor de escola","Terminal de ônibus","Guardiões da Galáxia","Futurista","Acho que comi sabão sem querer."
"Merendeira","Posto de combustível","Homem-Aranha: No Aranhaverso","Desmemoriado","Essa conversa tá ficando muito estranha."
"Monitor de perua escolar","Conveniência do posto","Doutor Estranho","Curioso","Perdi o chão e nem foi por paixão."
"Bibliotecário","Borracharia 24h","Logan","Indiferente","Você tem coragem de olhar no meu olho?"
"Auxiliar de limpeza","Estacionamento rotativo","Deadpool","Compulsivo","Alguém avisa que a reunião já acabou!"
"Piloto de avião","Depósito de material de construção","X-Men: Dias de um Futuro Esquecido","Controlador","Vou contar até três..."
"Comissário de bordo","Loja de móveis","O Espetacular Homem-Aranha","Desencanado","Tem um ET na minha lavanderia!"
"Engenheiro civil","Loja de sapatos","Crepúsculo","Trágico","Eu nem queria estar aqui para começo de conversa."
"Programador","Floricultura","Jogos Vorazes","Cômico","Cuidado com o degrau que não existe!"
"Designer gráfico","Joalheria de shopping","Divergente","Misterioso","Tira esse chapéu que tá me dando agonia."
"Biólogo","Sebo de livros usados","Maze Runner","Enigmático","Sinto que minha alma saiu do corpo e voltou."
"Químico","Loja de antiguidades","A Culpa é das Estrelas","Transparente","Quem colocou detergente na minha sopa?"
"Físico","Brechó de roupas","Harry Potter e o Enigma do Príncipe","Duas caras","Você tá me confundindo com outra pessoa!"
"Geólogo","Mercado municipal","O Hobbit: Uma Jornada Inesperada","Fiel","O elevador tá subindo rápido demais!"
"Arqueólogo","Sacolão de frutas","As Crônicas de Nárnia: O Leão a Feiticeira e o Guarda-Roupa","Volúvel","Você já tentou lamber o próprio cotovelo?"
"Historiador","Churrascaria rodízio","Percy Jackson e o Ladrão de Raios","Persistente","Será que a gravidade tá funcionando direito hoje?"
"Filósofo","Recepção de hotel 5 estrelas","O Código Da Vinci","Dedicado","Por que você tá me encarando desse jeito?"
"Sociólogo","Cozinha industrial","Anjos e Demônios","Desistente","Você acha que os peixes sentem sede?"
"Astrônomo","Refeitório de empresa","Sherlock Holmes","Competitivo","Posso ficar com o seu pão de alho?"
"Meteorologista","Sala de reunião de diretoria","007: Cassino Royale","Pacífico","Você por acaso trouxe um dinossauro na bolsa?"
"Zoólogo","Call center lotado","007: Operação Skyfall","Agressivo","Por que o mundo tá de ponta-cabeça?"
"Botânico","Sala de servidores com ar-condicionado trincando","Missão Impossível","Passivo-agressivo","Quem te deu permissão pra ser tão chato?"
"Oceanógrafo","Laboratório de química","Velozes e Furiosos","Ironico","Você prefere ser um pato ou um cavalo?"
"Antropólogo","Estúdio de rádio ao vivo","Velozes e Furiosos 5: Operação Rio","Solícito","Por que tem uma galinha dentro do guarda-roupa?"
"Tradutor","Estúdio de gravação de podcast","John Wick","Egoísta","Você já viu um fantasma de óculos escuros?"
"Intérprete","Bastidores de desfile de moda","Busca Implacável","Altruísta","Será que o espaço cheira a queimado?"
"Dublador","Plato de gravação de novela","Duro de Matar","Materialista","Você tem certeza de que a terra é me redonda?"
"Ator","Camarim de cantor famoso","Até o Último Homem","Espiritualizado","Por que você tá vestindo duas meias esquerdas?"
"Atriz","Sala de autópsia do IML","1917","Cético","Você acha que eu tenho cara de palhaço?"
"Diretor de cinema","Delegacia de polícia","Dunkirk","Fanático","Quem é que come melancia com sal?"
"Roteirista","Cela de cadeia","Corações de Ferro","Idealista","Você se lembra de onde a gente se conheceu?"
"Produtor musical","Sala de interrogatório","Troia","Realista","Será que as plantas sentem dor de cabeça?"
"Instrumentista","Posto de saúde de bairro","300","Pessimista extremo","Você pode segurar esse abacaxi pra mim?"
"Pianista","UTI de hospital","Spartacus","Sonhador incurável","Por que a sua sombra tá se mexendo sozinha?"
"Violinista","Sala de cirurgia","Braveheart (Coração Valente)","Nostálgico obsessivo","Você trouxe a chave do cofre secreta?"
"Baterista","Maternidade","Cidade de Deus","Alto e desengonçado","Por que você nunca me ouve quando eu falo?"
"Baixista","Ambulância em emergência","Tropa de Elite","Baixinho enfezado","Será que é tarde demais pra mudar de vida?"
"Guitarrista","Corpo de bombeiros","Tropa de Elite 2","Fortão de academia","Você prefere perder um pé ou um braço?"
"Saxofonista","Quartel militar","Auto da Compadecida","Magricela","Por que tem um sapato dentro da geladeira?"
"Cantor","Campo de treinamento militar","Central do Brasil","Lento de movimentos","Você já tentou conversar com uma parede?"
"Bailarino","Torre de controle de aeroporto","Minha Mãe é uma Peça","Apressado de ritmo","Será que o futuro já aconteceu?"
"Harry Potter","Cabine de avião comercial","Que Horas Ela Volta?","Com voz esganiçada","Por que todo mundo tá me olhando assim?"
"Darth Vader","Convés de navio cargueiro","O Palhaço","Com voz grave de locutor","Você tem medo de privada entupida?"
"Batman","Sala de máquinas de navio","O Auto da Compadecida 2","Que fala sussurrando","Por que você tá sussurrando se tamo sozinhos?"
"Sherlock Holmes","Farol isolado na costa","Bacurau","Que fala gritando","Será que a minha voz é chata assim mesmo?"
"Coringa","Usina hidrelétrica","O Cheiro do Ralo","Que gesticula demais","Você lembra o que fez no verão de 2012?"
"Jack Sparrow","Usina nuclear","Lisbela e o Prisioneiro","Com tique nervoso no olho","Por que você comprou cinquenta quilos de sabão?"
"Barbie","Plataforma de petróleo","O Homem que Copiava","Com mania de coçar o nariz","Você acha que o mundo vai acabar hoje?"
"Shrek","Mina de carvão subterrânea","Saneamento Básico o Filme","Que anda mancando","Será que a gente pode recomeçar do zero?"
"Homem-Aranha","Pedreira de extração de mármore","Meu Nome Não É Johnny","Que anda nas pontas dos pés","Por que tem um buraco no teto do seu quarto?"
"Wandinha Addams","Usina de reciclagem de lixo","Carandiru","Com postura ereta militar","Você por acaso é parente do prefeito?"
"Gandalf","Aterro sanitário","Dois Filhos de Francisco","Com ombros caídos de cansaço","Será que o Papai Noel paga imposto de renda?"
"Mario","Estação de tratamento de esgoto","Se Eu Fosse Você","Que respira fundo toda hora","Por que você não atendeu as minhas quarenta ligações?"
"Donatello","Laboratório de biologia molecular","De Pernas pro Ar","Que ri de tudo","Você se importa se eu me sentar no chão?"
"Pikachu","Observatório astronômico","Até que a Sorte nos Separe","Que chora por qualquer coisa","Por que você tá sorrindo desse jeito macabro?"
"Bob Esponja","Antena de transmissão de TV","Tudo por um Popstar","Com miopia sem óculos","Será que meu espelho tá me enganando?"
"Patrick Estrela","Centro de distribuição de encomendas","Turma da Mônica: Laços","Com labirintite","Você trouxe a poção mágica que eu pedi?"
"Seu Sirigueijo","Galpão de estoque","Cazuza: O Tempo Não Para","Com soluço ininterrupto","Por que tem um gato miando na sua mochila?"
"Lula Molusco","Almoxarifado central","Tim Maia","Com rinite atacada","Você me ama ou só gosta da minha comida?"
"Chaves","Arquivos mortos da prefeitura","Elis","Com coceira nas costas","Será que alienígenas gostam de pagode?"
"Quico","Câmara de vereadores","Chorão: Marginal Alado","Com frio excessivo","Por que você tá de casaco no meio do verão?"
"Seu Madruga","Plenário do senado","Marighella","Com calor insuportável","Você prefere lutar contra um urso ou dez cachorros?"
"Dona Florinda","Embaixada diplomática","Hoje Eu Quero Voltar Sozinho","Com fome de leão","Por que a porta do seu guarda-roupa bateu?"
"Professor Girafales","Consulado","Aquarius","Com sono profundo","Será que eu deixei a torneira aberta?"
"Chapolin Colorado","Cartório de notas","Bingo: O Rei das Manhãs","Com insônia","Você acha que eu fico bem de bigode?"
"Scooby-Doo","Junta comercial","Estrada do Diabo","Com tontura leve","Por que tem um pato de borracha na sua sopa?"
"Salsicha","Repartição pública federal","O Beijo da Mulher Aranha","Com cheiro de perfume forte","Você se lembra da nossa promessa de infância?"
"Velma","Posto do INSS","Dona Flor e Seus Dois Maridos","Com cheiro de chulé","Será que os pássaros são robôs da prefeitura?"
"Freddie Mercury","Posto do Poupatempo","Macunaíma","Com terno chique","Por que você tá correndo se ninguém tá te perseguindo?"
"Michael Jackson","Detran no dia de vistoria","Vidas Secas","De pijama e pantufas","Você acha que a vida é um jogo de videogame?"
"Elvis Presley","Receita federal","O Pagador de Promessas","De óculos escuros de noite","Por que você tá me oferecendo essa coxinha suspeita?"
"Mickey Mouse","Sala de audiência de conciliação","Terra em Transe","De chapéu estranho","Será que a minha avó era uma espiã?"
"Pateta","Escritório de advocacia refinado","Deus e o Diabo na Terra do Sol","Com maquiagem borrada","Você tem medo de barata voadora?"
"Piu-Piu","Escritório de contabilidade","Pixote a Lei do Mais Fraco","Com roupa ao contrário","Por que tem uma melancia no meio da sala?"
"Frajola","Agência de publicidade descolada","Bye Bye Brasil","Com sapato apertado","Você já viu a lua ficar verde?"
"Pica-Pau","Startup de tecnologia com pufes","Cabra Cego","Com mochila pesadíssima","Será que a gente tá numa pegadinha da TV?"
"Tom","Empresa de investimentos","O Que É Isso Companheiro?","Com guarda-chuva aberto","Por que você tá usando óculos de natação?"
"Jerry","Bolsa de valores gritando","A Partilha","Com sacolas nas duas mãos","Você acha que o tempo tá passando mais rápido?"
"Homer Simpson","Casa de câmbio","O Casamento de Romeu e Julieta","Descalço no asfalto","Por que o seu cachorro tá me encarando com raiva?"
"Bart Simpson","Cofre forte de banco","Durval Discos","Com luvas de boxe","Será que a sopa de ontem tava estragada?"
"Lisa Simpson","Carro forte","Amarelo Manga","Com capacete de moto","Você trouxe o mapa do tesouro ou esqueceu?"
"Seu Burns","Guarita de segurança","Madame Satã","Com avental sujo de molho","Por que você tá cantando em espanhol?"
"Marge Simpson","Sala de monitoramento de câmeras","Cinema Aspirinas e Urubus","Com gravata torta","Você acha que eu tenho cara de quem se importa?"
"Buzz Lightyear","Posto de fiscalização de fronteira","Boi Neon","Com peruca colorida","Será que as estrelas estão caindo?"
"Woody","Alfandega de aeroporto","Tatuagem","Com bigode postiço caindo","Por que tem uma luva de boxe no seu colo?"
"WALL-E","Centro de treinamento de astronautas","BR716","Com capa de super-herói","Você acredita em amor à primeira vista?"
"Po","Base militar secreta","Como Nossos Pais","Com manchas de tinta nas mãos","Por que você tá segurando essa frigideira?"
"Burro do Shrek","Bunker de autoridade","Benzinho","Com toalha na cabeça","Será que o restaurante tá aberto a essa hora?"
"Gato de Botas","Sala de guerra presidencial","A Vida Invisível","Com curativo na testa","Você acha que a gente vai conseguir fugir?"
"Elsa","Escola de aviação","Marte Um","Com gesso no braço","Por que tem um macaco no telhado?"
"Olaf","Simulador de voo","Pedágio","Com muletas","Você prefere voar ou ser invisível?"
"Moana","Autoescola baliza","Retratos Fantasmas","De patins no pé","Por que você tá me pedindo desculpas?"
"Maui","Escola de marinha","Manas","De salto alto desconfortável","Será que aquele homem ali é um ciborgue?"
"Aladdin","Academia de polícia","Caramuru: A Invenção do Brasil","Com terno de lantejoulas","Você lembra onde a gente estacionou o carro?"
"Gênio da Lâmpada","Escola de bombeiros","O Xangô de Baker Street","De fantasia de dinossauro","Por que o sol tá brilhando tanto hoje?"
"Jafar","Centro de adestramento de cães","Deus É Brasileiro","De maiô de natação","Você acha que o café tá forte demais?"
"Simba","Escola de gastronomia","Casa de Areia","De casaco de pele no verão","Por que você tá escondendo as mãos nas costas?"
"Timão","Oficina de marcenaria","Desmundo","Com bermuda florida e chinelo","Será que a polícia já tá vindo?"
"Pumba","Oficina de serralheria","Lula o Filho do Brasil","Com paletó rasgado","Você tem coragem de pular daqui?"
"Cinderela","Oficina de funilaria","Chico Xavier","Com coroa de plástico","Por que tem um envelope vermelho na minha mesa?"
"Branca de Neve","Estaleiro de navios","Nosso Lar","Com cetro real","Você acha que eu tô ficando maluco?"
"Capitão América","Fábrica de automóveis","Kardec","Com luvas de silicone","Por que você nunca aceita os meus conselhos?"
"Homem de Ferro","Fábrica de chocolates","Os Dez Mandamentos: O Filme","Com máscara de proteção","Será que o meu sapato tá pequeno demais?"
"Thor","Fábrica de brinquedos","Cine Holliúdy","Com protetor auricular","Você trouxe o dinheiro do resgate?"
"Hulk","Cervejaria artesanal","O Shaolin do Sertão","Com fones de ouvido gigantes","Por que o teto tá gotejando suco de laranja?"
"Viúva Negra","Destilaria de cachaça","Cabras da Peste","Com medalhas no peito","Você acha que a gente devia ter virado à esquerda?"
"Doutor Estranho","Vinícola no meio do vinhedo","Um Suburbano Sortudo","Com faixa de campeão","Por que o seu celular tá apitando sem parar?"
"Deadpool","Cooperativa agrícola","Os Farofeiros","Com crachá virado","Será que a professora notou que eu dormi?"
"Wolverine","Camarote de carnaval na Sapucaí","Tô Ryco!","Com avental de cozinha","Você prefere frio congelante ou calor extremo?"
"Pantera Negra","Trio elétrico em Salvador","Muita Calma Nessa Hora","Com uniforme de entregador","Por que você tá usando meias diferentes?"
"Baby Yoda","Festa junina de quermesse","Vai que Cola: O Filme","Com roupa de mergulho","Você acha que o mundo precisa de mais amor ou de mais pizza?"
"Mandaloriano","Roda de samba na calçada","Os Penetras","Com roupa de astronauta","Por que você tá me olhando com essa cara de choque?"
"Luke Skywalker","Festival de música no lamaçal","Dom Casmurro","De túnica medieval","Será que a gente tá no filme errado?"
"Yoda","Show de heavy metal na grade","Memórias Póstumas de Brás Cubas","De kimono de karatê","Você tem certeza de que isso é legal perante a lei?"
"Chewbacca","Rave no meio do mato","O Cortiço","De tutu de bailarina","Eu nunca mais vou olhar na sua cara!"
"R2-D2","Balada sertaneja VIP","Vidas Secas (Livro)","Com pijama de bolinhas","Você destruiu tudo o que construímos juntos!"
"Neo","Baile funk na quadra","Grande Sertão: Veredas","De camisa de time de futebol","Saia da minha casa e leve as suas mentiras com você!"
"Morpheus","Festa de formatura de faculdade","Capitães da Areia","Com lenço no pescoço","Se você der mais um passo eu juro que grito!"
"Gollum","Baile de debutante de 15 anos","O Alquimista","Com monóculo no olho","Foi você... o tempo todo era você!"
"Legolas","Festa de bodas de ouro","A Hora da Estrela","Com cachimbo na boca","Não me peça calma num momento como este!"
"Gimli","Chá de bebê surpresa","Macunaíma (Livro)","Com leque se abanando","O nosso amor acabou naquele maldito jantar!"
"Willy Wonka","Chá de revelação de sexo","O Quinze","Com bengala elegante","Eu preferia ter morrido a ver essa cena!"
"Minion","Despedida de solteiro em Las Vegas","Iracema","Com binóculo no pescoço","Você não tem coração tem uma pedra no peito!"
"Gru","Casamento na praia sob chuva","Senhora","Com apito no peito","Guardei esse segredo por mais de vinte anos!"
"Sonic","Recepção de casamento com buffet falhando","O Guarani","Com prancha de surfe embaixo do braço","Olha bem pra mim e diz que você não me ama!"
"Tails","Almoço de domingo em família","Triste Fim de Policarpo Quaresma","Com raquete de tênis","O testamento era falso desde o começo!"
"Dr. Eggman","Churrasco na laje","São Bernardo","Com violão nas costas","Eu dei os melhores anos da minha vida pra você!"
"Naruto","Piquenique no parque","Fogo Morto","Com mala de rodinhas","Você vai pagar por cada lágrima que eu derrubei!"
"Goku","Acampamento na montanha","O Tempo e o Vento","Com carrinho de feira","Esqueça o meu nome e finja que eu nunca existi!"
"Vegeta","Fogueira de acampamento","Olhai os Lírios do Campo","Com papagaio no ombro","Tudo o que você disse era uma grande farsa!"
"Sailor Moon","Trilha na mata fechada","A Causa das Secretas","Com gato no colo","Você não passa de um covarde mascarado!"
"Luffy","Passeio de barco a vela","Noite na Taverna","Com cachorro na coleira","Eu descobri a verdade sobre aquela noite no navio!"
"Zoro","Passeio de lancha","Saramandaia","Com gaiola de passarinho","Você trocou a nossa família por dinheiro!"
"Sanji","Passeio de caiaque no rio","E Não Sobrou Nenhum","Desesperado por ajuda","Nunca mais ouse pronunciar o nome da minha mãe!"
"Nami","Descida de rafting na corredeira","Assassinato no Expresso do Oriente","Em transe hipnótico","A máscara caiu meu caro amigo!"
"Tanjiro","Salto de paraquedas no ar","O Sol É para Todos","Sob efeito de muita cafeína","Eu vi quando você assinou aquele contrato obscuro!"
"Nezuko","Voo de asa delta","1984","Bêbado de cidra","Você pode enganar a todos mas não a mim!"
"Gojo","Voo de balão de ar quente","Admirável Mundo Novo","Com dor de dente terrível","Tire essa aliança do dedo imediatamente!"
"Sukuna","Parque aquático no tobogã","Fahrenheit 451","Com azia forte","Nós fomos enganados pela pessoa em quem mais confiávamos!"
"Light Yagami","Piscina de ondas","O Apanhador no Campo de Centeio","Com câimbra na perna","O que você fez com a verdadeira herdeira?"
"L","Parque de diversões na roda gigante","O Sol Também Se Levanta","Com dor nas costas de idoso","Eu vou contar a todos o que você esconde naquele sótão!"
"Saitama","Montanha-russa no ponto mais alto","O Velho e o Mar","Perdido sem GPS","Não adianta implorar perdão de joelhos!"
"Deku","Trem fantasma","Cem Anos de Solidão","Atrasado para a noiva","O destino nos separou mas a vingança nos uniu!"
"All Might","Carrinho de bate-bate","O Amor nos Tempos do Cólera","Procurando o banheiro urgente","Você roubou o meu sonho e a minha juventude!"
"Edward Elric","Casa dos espelhos","Crônica de uma Morte Anunciada","Tentando esconder um segredo","Essa empresa pertence à minha família por direito!"
"Alphonse Elric","Stand de tiro ao alvo","A Metamorfose","Achando que está num filme de terror","Eu preferia viver na miséria a aceitar a sua esmola!"
"Levi Ackerman","Circo sob a lona","O Processo","Achando que está sendo filmado","A verdade vai aparecer quando a tempestade passar!"
"Eren Yeager","Picadeiro de circo","O Castelo","Achando que todos são alienígenas","Você jogou o nosso futuro na lata do lixo!"
"Mikasa Ackerman","Bastidores de circo","Ensaio sobre a Cegueira","Convencido de que é um fantasma","Não toque em mim com essas mãos sujas de traição!"
"Spike Spiegel","Teatro municipal no palco","O Evangelho segundo Jesus Cristo","Achando que ganhou na Mega-Sena","Eu sei quem você é de verdade por trás desse sorriso!"
"Guts","Plateia de teatro lotada","As Intermitências da Morte","Com medo de germes","Você vai se arrepender do dia em que me conheceu!"
"Jotaro Kujo","Foyer de teatro","O Nome da Rosa","Com medo de altura","Nada do que você diga vai apagar o passado!"
"Seiya","Cinema na fila da pipoca","Foucault e o Pêndulo","Com pavor de palhaço","Eu ouvi tudo o que você disse atrás da porta!"
"Shiryu","Sessão de cinema 3D","Corações Sujos","Com medo de escuro","A sua ganância destruiu o nosso império!"
"Hyoga","Drive-in de carros","A Revolução dos Bichos","Com medo de borboletas","Você vendeu a sua alma por um punhado de moedas!"
"Shun","Show de stand-up comedy","Laranja Mecânica (Livro)","Achando que é invisível","Eu nunca deveria ter confiado em alguém como você!"
"Ikki","Encontro de cosplayers em convenção","Drácula","Achando que tem superpoderes","O veneno que você preparou vai servir para você mesmo!"
"Yusuke Urameshi","Torneio de e-sports na arena","Frankenstein","Fingindo ser muito rico","Essa casa não é grande o suficiente para nós dois!"
"Inuyasha","Campeonato de xadrez em silêncio","O Médico e o Monstro","Fingindo ser gringo","Eu vou até o fim do mundo pra te colocar na cadeia!"
"Sesshomaru","Torneio de poker","O Retrato de Dorian Gray","Fingindo ser cego","Você pensou que eu nunca iria descobrir a verdade?"
